         2156267 function calls (2116685 primitive calls) in 15.867 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    3.957    0.062    3.957    0.062 {method 'run_backward' of 'torch._C._EngineBase' objects}
      155    2.150    0.014    2.150    0.014 {built-in method conv2d}
      279    1.588    0.006    1.588    0.006 win32.py:225(flip)
      279    0.904    0.003    0.913    0.003 __init__.py:2142(get_image_data)
      155    0.858    0.006    0.858    0.006 {built-in method batch_norm}
       64    0.508    0.008    2.262    0.035 03_DQN_training.py:212(get_next)
      256    0.487    0.002    0.487    0.002 {built-in method cat}
      279    0.438    0.002    0.438    0.002 {method 'tobytes' of 'numpy.ndarray' objects}
      310    0.344    0.001    0.344    0.001 {built-in method relu}
    28679    0.256    0.000    0.256    0.000 {built-in method numpy.array}
      128    0.205    0.002    0.205    0.002 {method 'max' of 'torch._C._TensorBase' objects}
      279    0.195    0.001    1.249    0.004 03_DQN_training.py:187(transform_screen_data)
        1    0.171    0.171   15.871   15.871 03_DQN_training.py:1(<module>)
      723    0.165    0.000    0.190    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      310    0.162    0.001    0.162    0.001 {built-in method addmm}
       12    0.124    0.010    0.124    0.010 {built-in method time.sleep}
       13    0.121    0.009    0.121    0.009 {built-in method matplotlib.backends._tkagg.blit}
      279    0.096    0.000    0.096    0.000 {method 'resize' of 'ImagingCore' objects}
     3100    0.092    0.000    0.092    0.000 {built-in method nt.stat}
        3    0.092    0.031    0.092    0.031 win32.py:195(attach)
    36/35    0.090    0.003    0.093    0.003 {built-in method _imp.create_dynamic}
      279    0.088    0.000    0.088    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
      288    0.077    0.000    0.095    0.000 win32.py:214(set_current)
      723    0.076    0.000    0.076    0.000 {built-in method marshal.loads}
3455/3361    0.065    0.000    0.124    0.000 {built-in method builtins.__build_class__}
      279    0.054    0.000    0.076    0.000 __init__.py:1112(_ensure_string_data)
  159/126    0.054    0.000    0.735    0.006 {method 'call' of '_tkinter.tkapp' objects}
       64    0.050    0.001    0.148    0.002 adam.py:49(step)
        1    0.050    0.050    0.050    0.050 {built-in method _tkinter.create}
      279    0.041    0.000    4.401    0.016 03_DQN_training.py:175(get_processed_screen)
    25703    0.038    0.000    0.063    0.000 lib.py:85(errcheck)
      837    0.038    0.000    0.068    0.000 rendering.py:235(render1)
      279    0.035    0.000    0.657    0.002 functional.py:104(to_pil_image)
66947/56371    0.033    0.000    0.058    0.000 artist.py:219(stale)
    65974    0.032    0.000    0.032    0.000 __init__.py:811(__getitem__)
      279    0.032    0.000    0.032    0.000 {method 'byte' of 'torch._C._TensorBase' objects}
     1557    0.030    0.000    0.245    0.000 lines.py:273(__init__)
     1024    0.027    0.000    0.027    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
17625/14683    0.027    0.000    0.118    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     7086    0.027    0.000    0.027    0.000 {method 'reduce' of 'numpy.ufunc' objects}
134248/133851    0.026    0.000    0.048    0.000 {built-in method builtins.isinstance}
      723    0.025    0.000    0.025    0.000 {method 'read' of '_io.FileIO' objects}
     1024    0.024    0.000    0.024    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
34690/30192    0.022    0.000    0.691    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      279    0.022    0.000    0.022    0.000 __init__.py:47(create_string_buffer)
      320    0.020    0.000    0.020    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    51918    0.020    0.000    0.027    0.000 {built-in method builtins.getattr}
      275    0.020    0.000    4.040    0.015 03_DQN_training.py:151(get_state)
      512    0.020    0.000    0.020    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
78332/78311    0.018    0.000    0.025    0.000 {built-in method builtins.hasattr}
     3316    0.018    0.000    0.028    0.000 artist.py:74(__init__)
     2467    0.018    0.000    0.031    0.000 inspect.py:614(cleandoc)
      279    0.017    0.000    0.017    0.000 {method 'decode' of 'ImagingDecoder' objects}
      279    0.016    0.000    0.016    0.000 {built-in method from_numpy}
   1093/1    0.016    0.000   15.871   15.871 {built-in method builtins.exec}
     1304    0.015    0.000    0.018    0.000 __init__.py:1679(normalize_kwargs)
     4037    0.015    0.000    0.063    0.000 artist.py:942(update)
      512    0.015    0.000    0.015    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
      279    0.014    0.000    2.818    0.010 rendering.py:90(render)
     6657    0.014    0.000    0.016    0.000 transforms.py:164(set_children)
      319    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
      706    0.012    0.000    0.054    0.000 lines.py:667(recache)
     5710    0.012    0.000    0.039    0.000 fromnumeric.py:73(_wrapreduction)
     1674    0.012    0.000    0.025    0.000 rendering.py:188(enable)
      279    0.011    0.000    0.051    0.000 functional.py:42(to_tensor)
      279    0.011    0.000    0.011    0.000 {built-in method PIL._imaging.fill}
     7311    0.011    0.000    0.022    0.000 abc.py:180(__instancecheck__)
  511/423    0.011    0.000    0.476    0.001 axis.py:56(__init__)
      512    0.010    0.000    0.010    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
  171/134    0.010    0.000    0.010    0.000 __init__.py:634(f)
    15964    0.010    0.000    0.010    0.000 transforms.py:82(__init__)
5529/4773    0.010    0.000    0.011    0.000 transforms.py:137(_invalidate_internal)
     8230    0.010    0.000    0.015    0.000 __init__.py:2018(_setattr_cm)
  775/155    0.010    0.000    3.563    0.023 module.py:531(__call__)
      279    0.009    0.000    0.009    0.000 {method 'div' of 'torch._C._TensorBase' objects}
      104    0.009    0.000    0.011    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    13036    0.009    0.000    0.013    0.000 random.py:223(_randbelow)
        1    0.009    0.009    0.010    0.010 {built-in method torch._C._jit_script_compile}
     1178    0.009    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     4461    0.009    0.000    0.010    0.000 contextlib.py:59(__init__)
     1457    0.009    0.000    0.037    0.000 font_manager.py:620(__init__)
    12335    0.008    0.000    0.008    0.000 _weakrefset.py:70(__contains__)
      984    0.008    0.000    0.116    0.000 artist.py:709(set_clip_path)
      279    0.008    0.000    0.492    0.002 Image.py:2612(fromarray)
    14517    0.008    0.000    0.010    0.000 artist.py:338(pchanged)
    67103    0.008    0.000    0.008    0.000 artist.py:774(get_animated)
  791/240    0.008    0.000    0.022    0.000 sre_parse.py:470(_parse)
    15231    0.008    0.000    0.009    0.000 __init__.py:2157(_check_in_list)
91861/91154    0.008    0.000    0.008    0.000 {built-in method builtins.len}
      279    0.008    0.000    0.011    0.000 __init__.py:611(dispatch_events)
      513    0.008    0.000    0.008    0.000 {built-in method tensor}
      279    0.008    0.000    0.009    0.000 __init__.py:1222(clear)
     2034    0.007    0.000    0.053    0.000 markers.py:292(set_marker)
     8815    0.007    0.000    0.012    0.000 transforms.py:1683(__init__)
     5491    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
      155    0.007    0.000    3.560    0.023 03_DQN_training.py:40(forward)
