         2719936 function calls (2672071 primitive calls) in 31.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      172   10.302    0.060   10.302    0.060 {method 'run_backward' of 'torch._C._EngineBase' objects}
      405    5.755    0.014    5.755    0.014 {built-in method conv2d}
      405    2.213    0.005    2.213    0.005 {built-in method batch_norm}
      391    1.535    0.004    1.535    0.004 win32.py:225(flip)
      688    1.344    0.002    1.344    0.002 {built-in method cat}
      172    1.202    0.007    5.806    0.034 03_DQN_training.py:212(get_next)
      391    1.006    0.003    1.018    0.003 __init__.py:2142(get_image_data)
      810    0.942    0.001    0.942    0.001 {built-in method relu}
      391    0.667    0.002    0.667    0.002 {method 'tobytes' of 'numpy.ndarray' objects}
      344    0.552    0.002    0.552    0.002 {method 'max' of 'torch._C._TensorBase' objects}
      810    0.456    0.001    0.456    0.001 {built-in method addmm}
        1    0.430    0.430   31.933   31.933 03_DQN_training.py:1(<module>)
    38113    0.395    0.000    0.395    0.000 {built-in method numpy.array}
      391    0.311    0.001    1.923    0.005 03_DQN_training.py:187(transform_screen_data)
       17    0.174    0.010    0.174    0.010 {built-in method matplotlib.backends._tkagg.blit}
       16    0.165    0.010    0.165    0.010 {built-in method time.sleep}
      391    0.150    0.000    0.150    0.000 {method 'resize' of 'ImagingCore' objects}
      391    0.149    0.000    0.149    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
      172    0.137    0.001    0.411    0.002 adam.py:49(step)
      723    0.137    0.000    0.160    0.000 <frozen importlib._bootstrap_external>:830(get_data)
    36/35    0.091    0.003    0.093    0.003 {built-in method _imp.create_dynamic}
      400    0.088    0.000    0.106    0.000 win32.py:214(set_current)
        3    0.084    0.028    0.084    0.028 win32.py:195(attach)
     3100    0.083    0.000    0.083    0.000 {built-in method nt.stat}
     2752    0.074    0.000    0.074    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      723    0.071    0.000    0.071    0.000 {built-in method marshal.loads}
     2752    0.070    0.000    0.070    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
  183/142    0.068    0.000    0.988    0.007 {method 'call' of '_tkinter.tkapp' objects}
      391    0.067    0.000    0.093    0.000 __init__.py:1112(_ensure_string_data)
     1376    0.060    0.000    0.060    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
3455/3361    0.059    0.000    0.116    0.000 {built-in method builtins.__build_class__}
    35447    0.056    0.000    0.093    0.000 lib.py:85(errcheck)
      391    0.054    0.000    5.233    0.013 03_DQN_training.py:175(get_processed_screen)
        1    0.052    0.052    0.052    0.052 {built-in method _tkinter.create}
      391    0.050    0.000    1.003    0.003 functional.py:104(to_pil_image)
     1173    0.049    0.000    0.094    0.000 rendering.py:235(render1)
89191/75099    0.048    0.000    0.082    0.000 artist.py:219(stale)
      391    0.048    0.000    0.048    0.000 {method 'byte' of 'torch._C._TensorBase' objects}
    87519    0.045    0.000    0.045    0.000 __init__.py:811(__getitem__)
     2078    0.042    0.000    0.335    0.000 lines.py:273(__init__)
     1376    0.039    0.000    0.039    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
23263/19444    0.036    0.000    0.158    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
