         2135722 function calls (2096018 primitive calls) in 12.126 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1093/1    0.014    0.000   12.129   12.129 {built-in method builtins.exec}
        1    0.136    0.136   12.129   12.129 03_DQN_training.py:1(<module>)
      268    0.030    0.000    4.003    0.015 03_DQN_training.py:179(get_processed_screen)
      264    0.012    0.000    3.774    0.014 03_DQN_training.py:155(get_state)
      268    0.002    0.000    2.961    0.011 03_DQN_training.py:142(render)
      268    0.004    0.000    2.960    0.011 cartpole.py:137(render)
 1072/134    0.008    0.000    2.913    0.022 module.py:531(__call__)
      134    0.006    0.000    2.911    0.022 03_DQN_training.py:43(forward)
      268    0.010    0.000    2.804    0.010 rendering.py:90(render)
      268    0.001    0.000    2.166    0.008 __init__.py:319(flip)
      268    2.164    0.008    2.164    0.008 win32.py:225(flip)
       53    0.000    0.000    1.996    0.038 tensor.py:138(backward)
       53    0.001    0.000    1.996    0.038 __init__.py:44(backward)
       53    1.994    0.038    1.994    0.038 {method 'run_backward' of 'torch._C._EngineBase' objects}
       53    0.382    0.007    1.930    0.036 03_DQN_training.py:216(get_next)
      268    0.001    0.000    1.756    0.007 conv.py:344(forward)
      268    0.001    0.000    1.755    0.007 conv.py:334(conv2d_forward)
      268    1.753    0.007    1.753    0.007 {built-in method conv2d}
       53    0.000    0.000    1.505    0.028 03_DQN_training.py:212(get_current)
       12    0.000    0.000    1.315    0.110 03_DQN_training.py:254(plot)
      268    0.138    0.001    1.008    0.004 03_DQN_training.py:191(transform_screen_data)
      268    0.001    0.000    0.946    0.004 pooling.py:138(forward)
      268    0.001    0.000    0.945    0.004 _jit_internal.py:128(fn)
      268    0.000    0.000    0.944    0.004 functional.py:482(_max_pool2d)
      268    0.944    0.004    0.944    0.004 {built-in method max_pool2d}
       52    0.002    0.000    0.918    0.018 __init__.py:1(<module>)
    805/9    0.004    0.000    0.900    0.100 <frozen importlib._bootstrap>:966(_find_and_load)
    802/9    0.002    0.000    0.900    0.100 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    779/9    0.003    0.000    0.897    0.100 <frozen importlib._bootstrap>:651(_load_unlocked)
    723/9    0.002    0.000    0.897    0.100 <frozen importlib._bootstrap_external>:672(exec_module)
    998/9    0.000    0.000    0.894    0.099 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       12    0.000    0.000    0.776    0.065 pyplot.py:289(pause)
       12    0.000    0.000    0.763    0.064 backend_bases.py:2244(start_event_loop)
      268    0.002    0.000    0.697    0.003 transforms.py:68(__call__)
  159/126    0.051    0.000    0.665    0.005 {method 'call' of '_tkinter.tkapp' objects}
       12    0.000    0.000    0.638    0.053 _backend_tk.py:471(flush_events)
       12    0.000    0.000    0.638    0.053 __init__.py:1175(update)
    13/12    0.000    0.000    0.634    0.053 __init__.py:1700(__call__)
       12    0.000    0.000    0.634    0.053 __init__.py:747(callit)
       12    0.000    0.000    0.634    0.053 _backend_tk.py:336(idle_draw)
    13/12    0.000    0.000    0.634    0.053 backend_tkagg.py:8(draw)
   450/47    0.000    0.000    0.626    0.013 {built-in method builtins.__import__}
33634/29136    0.020    0.000    0.597    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      268    0.001    0.000    0.562    0.002 transforms.py:127(__call__)
      268    0.027    0.000    0.561    0.002 functional.py:104(to_pil_image)
       13    0.000    0.000    0.498    0.038 backend_agg.py:382(draw)
